QueryID	Q0	DocID	Rank	Score	RunID
test	Q0	835388	325	9.0	runtest
test	Q0	825116	326	9.0	runtest
test	Q0	822705	327	9.0	runtest
test	Q0	819253	328	9.0	runtest
test	Q0	818157	329	9.0	runtest
test	Q0	808517	330	9.0	runtest
test	Q0	794984	331	9.0	runtest
test	Q0	768175	332	9.0	runtest
test	Q0	759837	333	9.0	runtest
test	Q0	733982	334	9.0	runtest
test	Q0	709256	335	9.0	runtest
test	Q0	682825	336	9.0	runtest
test	Q0	638361	337	9.0	runtest
test	Q0	631306	338	9.0	runtest
test	Q0	606216	339	9.0	runtest
test	Q0	597022	340	9.0	runtest
test	Q0	590179	341	9.0	runtest
test	Q0	586074	342	9.0	runtest
test	Q0	585781	343	9.0	runtest
test	Q0	582754	344	9.0	runtest
test	Q0	563967	345	9.0	runtest
test	Q0	558095	346	9.0	runtest
test	Q0	535705	347	9.0	runtest
test	Q0	508723	348	9.0	runtest
test	Q0	502718	349	9.0	runtest
test	Q0	499618	350	9.0	runtest
test	Q0	487095	351	9.0	runtest
test	Q0	483965	352	9.0	runtest
test	Q0	465335	353	9.0	runtest
test	Q0	447634	354	9.0	runtest
test	Q0	442532	355	9.0	runtest
test	Q0	428737	356	9.0	runtest
test	Q0	400662	357	9.0	runtest
test	Q0	373562	358	9.0	runtest
test	Q0	371316	359	9.0	runtest
test	Q0	367845	360	9.0	runtest
test	Q0	350573	361	9.0	runtest
test	Q0	328706	362	9.0	runtest
test	Q0	313801	363	9.0	runtest
test	Q0	311680	364	9.0	runtest
test	Q0	307614	365	9.0	runtest
test	Q0	191901	366	9.0	runtest
test	Q0	185715	367	9.0	runtest
test	Q0	175820	368	9.0	runtest
test	Q0	159851	369	9.0	runtest
test	Q0	147388	370	9.0	runtest
test	Q0	69682	371	9.0	runtest
test	Q0	36943	372	9.0	runtest
test	Q0	30201	373	9.0	runtest
test	Q0	27007	374	9.0	runtest
test	Q0	8044	375	9.0	runtest
test	Q0	889195	376	8.0	runtest
test	Q0	859806	377	8.0	runtest
test	Q0	856337	378	8.0	runtest
test	Q0	851292	379	8.0	runtest
test	Q0	835383	380	8.0	runtest
test	Q0	823553	381	8.0	runtest
test	Q0	821747	382	8.0	runtest
test	Q0	821708	383	8.0	runtest
test	Q0	814752	384	8.0	runtest
test	Q0	813095	385	8.0	runtest
test	Q0	810134	386	8.0	runtest
test	Q0	806444	387	8.0	runtest
test	Q0	777854	388	8.0	runtest
test	Q0	763180	389	8.0	runtest
test	Q0	759416	390	8.0	runtest
test	Q0	758617	391	8.0	runtest
test	Q0	743960	392	8.0	runtest
test	Q0	704945	393	8.0	runtest
test	Q0	701269	394	8.0	runtest
test	Q0	691734	395	8.0	runtest
test	Q0	688402	396	8.0	runtest
test	Q0	666160	397	8.0	runtest
test	Q0	653145	398	8.0	runtest
test	Q0	635122	399	8.0	runtest
test	Q0	620219	400	8.0	runtest
test	Q0	589048	401	8.0	runtest
test	Q0	581981	402	8.0	runtest
test	Q0	572522	403	8.0	runtest
test	Q0	562907	404	8.0	runtest
test	Q0	560806	405	8.0	runtest
test	Q0	544375	406	8.0	runtest
test	Q0	541808	407	8.0	runtest
test	Q0	540339	408	8.0	runtest
test	Q0	537598	409	8.0	runtest
test	Q0	535332	410	8.0	runtest
test	Q0	531120	411	8.0	runtest
test	Q0	504298	412	8.0	runtest
test	Q0	494432	413	8.0	runtest
test	Q0	489124	414	8.0	runtest
test	Q0	478155	415	8.0	runtest
test	Q0	473065	416	8.0	runtest
test	Q0	472946	417	8.0	runtest
test	Q0	461339	418	8.0	runtest
